,Unnamed: 0,Unnamed: 0.1,block_order,block_progressive_ID,block_stimuli,block_type,bonus_block_type,bonus_total,bonus_trial_correct,bonus_trial_number_chosen,choice_correct,choice_correct.1,left-0-right,participant_ID,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,side_chosen,start_position,total_left,total_right,treatment,trial_ID,trial_ID_block,waiting_elapsed
113,113.0,,2,0,1,2,,,,,1,1,1,1,25.0,51.0,35.0,35.0,17.0,29.0,20.0,35.0,33.0,23.0,75.0,31.0,0,3,205.0,204.0,2,0,0,200.0279999999329
114,114.0,,2,0,1,2,,,,,0,0,2,1,29.0,49.0,50.0,24.0,26.0,39.0,41.0,40.0,16.0,10.0,15.0,19.0,1,2,181.0,177.0,2,0,0,300.0420000000159
115,115.0,,2,0,1,2,,,,,0,0,2,1,50.0,16.0,17.0,41.0,21.0,56.0,44.0,20.0,44.0,12.0,35.0,12.0,0,2,157.0,211.0,2,0,0,633.4219999999507
116,116.0,,2,0,1,2,,,,,1,1,2,1,60.0,19.0,59.0,40.0,31.0,30.0,61.0,48.0,31.0,10.0,26.0,41.0,1,2,188.0,268.0,2,0,0,316.7109999998938
117,117.0,,2,0,1,2,,,,,1,1,1,1,44.0,72.0,20.0,37.0,30.0,50.0,10.0,18.0,24.0,13.0,59.0,32.0,1,3,187.0,222.0,2,0,0,1000.1400000000607
118,118.0,,2,0,1,2,,,,,1,1,1,1,10.0,26.0,26.0,50.0,88.0,24.0,13.0,67.0,39.0,11.0,26.0,10.0,0,1,202.0,188.0,2,0,0,350.0490000000225
119,119.0,,2,0,1,2,,,,,1,1,1,1,25.0,32.0,54.0,24.0,68.0,56.0,13.0,63.0,12.0,39.0,20.0,14.0,1,1,192.0,228.0,2,0,0,366.71799999987707
120,120.0,,0,0,1,3,,,,,1,1,2,1,46.0,45.0,21.0,35.0,10.0,22.0,49.0,14.0,40.0,29.0,57.0,31.0,0,2,220.0,179.0,2,0,0,933.4639999999899
121,121.0,,0,0,1,3,,,,,1,1,1,1,61.0,74.0,30.0,49.0,47.0,25.0,14.0,56.0,52.0,36.0,77.0,66.0,0,3,301.0,286.0,2,0,0,333.3800000001443
122,122.0,,0,0,1,3,,,,,0,0,2,1,26.0,34.0,72.0,12.0,34.0,23.0,56.0,63.0,31.0,63.0,45.0,10.0,0,4,201.0,268.0,2,0,0,383.52249999991614
